Area,Year,average_rain_fall_mm_per_year,avg_temp,Decade,Date
Albania,1990,1485,16.37,1990s,1990-01-01 00:00:00
Albania,1991,1496,15.36,1990s,1991-01-01 00:00:00
Albania,1992,1541,16.06,1990s,1992-01-01 00:00:00
Albania,1993,1522,16.05,1990s,1993-01-01 00:00:00
Albania,1994,1541,16.96,1990s,1994-01-01 00:00:00
Albania,1995,1551,15.67,1990s,1995-01-01 00:00:00
Albania,1996,1514,15.64,1990s,1996-01-01 00:00:00
Albania,1997,1524,15.9,1990s,1997-01-01 00:00:00
Albania,1998,1526,16.27,1990s,1998-01-01 00:00:00
Albania,1999,1535,16.57,1990s,1999-01-01 00:00:00
Albania,2000,1485,16.67,2000s,2000-01-01 00:00:00
Albania,2001,1485,16.59,2000s,2001-01-01 00:00:00
Albania,2002,1552,16.47,2000s,2002-01-01 00:00:00
Albania,2004,1491,16.16,2000s,2004-01-01 00:00:00
Albania,2005,1500,15.67,2000s,2005-01-01 00:00:00
Albania,2006,1542,15.92,2000s,2006-01-01 00:00:00
Albania,2007,1497,16.67,2000s,2007-01-01 00:00:00
Albania,2008,1490,16.71,2000s,2008-01-01 00:00:00
Albania,2009,1539,16.73,2000s,2009-01-01 00:00:00
Albania,2010,1490,16.52,2010s,2010-01-01 00:00:00
Albania,2011,1549,16.45,2010s,2011-01-01 00:00:00
Albania,2012,1521,16.7,2010s,2012-01-01 00:00:00
Albania,2013,1554,17.41,2010s,2013-01-01 00:00:00
Algeria,1990,89,17.48,1990s,1990-01-01 00:00:00
Algeria,1991,148,16.26,1990s,1991-01-01 00:00:00
Algeria,1992,162,16.27,1990s,1992-01-01 00:00:00
Algeria,1993,104,17,1990s,1993-01-01 00:00:00
Algeria,1994,150,17.88,1990s,1994-01-01 00:00:00
Algeria,1995,103,17.36,1990s,1995-01-01 00:00:00
Algeria,1996,157,16.76,1990s,1996-01-01 00:00:00
Algeria,1997,147,17.84,1990s,1997-01-01 00:00:00
Algeria,1998,97,17.14,1990s,1998-01-01 00:00:00
Algeria,1999,100,17.97,1990s,1999-01-01 00:00:00
Algeria,2000,112,17.9,2000s,2000-01-01 00:00:00
Algeria,2001,120,18.13,2000s,2001-01-01 00:00:00
Algeria,2002,142,17.85,2000s,2002-01-01 00:00:00
Algeria,2004,91,17.38,2000s,2004-01-01 00:00:00
Algeria,2005,110,17.19,2000s,2005-01-01 00:00:00
Algeria,2006,116,18.13,2000s,2006-01-01 00:00:00
Algeria,2007,111,17.42,2000s,2007-01-01 00:00:00
Algeria,2008,138,17.55,2000s,2008-01-01 00:00:00
Algeria,2009,144,17.78,2000s,2009-01-01 00:00:00
Algeria,2010,121,17.59,2010s,2010-01-01 00:00:00
Algeria,2011,141,17.79,2010s,2011-01-01 00:00:00
Algeria,2012,123,17.91,2010s,2012-01-01 00:00:00
Algeria,2013,99,17.65,2010s,2013-01-01 00:00:00
Angola,1990,1010,24.12,1990s,1990-01-01 00:00:00
Angola,1991,1085,24.02,1990s,1991-01-01 00:00:00
Angola,1992,1022,23.96,1990s,1992-01-01 00:00:00
Angola,1993,1080,24.15,1990s,1993-01-01 00:00:00
Angola,1994,1084,24.04,1990s,1994-01-01 00:00:00
Angola,1995,1046,24.56,1990s,1995-01-01 00:00:00
Angola,1996,1032,24.11,1990s,1996-01-01 00:00:00
Angola,1997,1059,24.06,1990s,1997-01-01 00:00:00
Angola,1998,1067,24.96,1990s,1998-01-01 00:00:00
Angola,1999,1077,24.37,1990s,1999-01-01 00:00:00
Angola,2000,1013,24.41,2000s,2000-01-01 00:00:00
Angola,2001,1048,24.43,2000s,2001-01-01 00:00:00
Angola,2002,1061,24.79,2000s,2002-01-01 00:00:00
Angola,2004,1065,24.22,2000s,2004-01-01 00:00:00
Angola,2005,1040,24.41,2000s,2005-01-01 00:00:00
Angola,2006,1025,24.14,2000s,2006-01-01 00:00:00
Angola,2007,1016,24.24,2000s,2007-01-01 00:00:00
Angola,2008,1041,24.27,2000s,2008-01-01 00:00:00
Angola,2009,1062,24.33,2000s,2009-01-01 00:00:00
Angola,2010,1068,24.44,2010s,2010-01-01 00:00:00
Angola,2011,1039,24.15,2010s,2011-01-01 00:00:00
Angola,2012,1038,24.24,2010s,2012-01-01 00:00:00
Angola,2013,1055,24.55,2010s,2013-01-01 00:00:00
Argentina,1990,591,17.57,1990s,1990-01-01 00:00:00
Argentina,1991,599,17.75,1990s,1991-01-01 00:00:00
Argentina,1992,607,17.3,1990s,1992-01-01 00:00:00
Argentina,1993,621,17.42,1990s,1993-01-01 00:00:00
Argentina,1994,663,18.24,1990s,1994-01-01 00:00:00
Argentina,1995,654,17.68,1990s,1995-01-01 00:00:00
